NAME,median_income,per_capita_income,gini_index,pop_below_poverty,total_population,avg_household_size,no_vehicle_households,total_households,total_workers,transit_commuters,bike_commuters,walk_commuters,wfh_commuters,mean_travel_time,state,county,tract,pct_no_vehicle,pct_transit,pct_bike,pct_walk,pct_wfh,pct_poverty,GEOID
Census Tract 6036; Los Angeles County; California,89875,40207.0,0.4207,604,4324,3.06,7,1404,2151,25,0,18,315,1836,06,037,603600,0.5,1.2,0.0,0.8,14.6,14.0,06037603600
Census Tract 6037.02; Los Angeles County; California,113125,42498.0,0.3593,155,5015,2.87,0,1717,2313,24,0,24,193,2120,06,037,603702,0.0,1.0,0.0,1.0,8.3,3.1,06037603702
Census Tract 6037.03; Los Angeles County; California,117330,47179.0,0.3598,78,2542,3.0,11,845,1315,0,13,23,196,1119,06,037,603703,1.3,0.0,1.0,1.7,14.9,3.1,06037603703
Census Tract 6037.05; Los Angeles County; California,74484,33188.0,0.4151,142,2824,3.03,12,931,1371,13,0,12,102,1269,06,037,603705,1.3,0.9,0.0,0.9,7.4,5.0,06037603705
Census Tract 6037.06; Los Angeles County; California,58217,21833.0,0.3125,444,3366,3.2,124,1047,1771,249,28,155,8,1763,06,037,603706,11.8,14.1,1.6,8.8,0.5,13.2,06037603706
Census Tract 6038.01; Los Angeles County; California,71000,27256.0,0.379,802,4827,3.08,93,1544,2493,45,31,43,77,2416,06,037,603801,6.0,1.8,1.2,1.7,3.1,16.6,06037603801
Census Tract 6038.02; Los Angeles County; California,80875,30947.0,0.3901,312,3941,3.38,62,1152,1868,0,0,90,53,1815,06,037,603802,5.4,0.0,0.0,4.8,2.8,7.9,06037603802
Census Tract 6039.01; Los Angeles County; California,90221,36073.0,0.3365,282,3685,2.97,89,1238,2050,50,88,152,188,1862,06,037,603901,7.2,2.4,4.3,7.4,9.2,7.7,06037603901
Census Tract 6039.02; Los Angeles County; California,58816,27302.0,0.3447,199,3211,2.89,56,1108,1397,87,26,10,80,1317,06,037,603902,5.1,6.2,1.9,0.7,5.7,6.2,06037603902
Census Tract 6040.01; Los Angeles County; California,88750,25452.0,0.3614,411,5151,4.2,71,1221,2746,54,56,10,247,2499,06,037,604001,5.8,2.0,2.0,0.4,9.0,8.0,06037604001
Census Tract 6040.02; Los Angeles County; California,64500,31758.0,0.434,547,3819,2.67,55,1422,2028,42,58,94,172,1856,06,037,604002,3.9,2.1,2.9,4.6,8.5,14.3,06037604002
Census Tract 6041.01; Los Angeles County; California,75201,25468.0,0.307,282,4108,3.6,29,1136,2187,48,0,0,30,2157,06,037,604101,2.6,2.2,0.0,0.0,1.4,6.9,06037604101
Census Tract 6041.02; Los Angeles County; California,84803,33557.0,0.4186,448,2811,3.25,6,863,1347,12,41,40,65,1282,06,037,604102,0.7,0.9,3.0,3.0,4.8,15.9,06037604102
